year,out_reactor+HG206,out_reactor+TL206,out_reactor+TL207,out_reactor+TL208,out_reactor+TL209,out_reactor+TL210,out_reactor+PB209,out_reactor+PB210,out_reactor+PB211,out_reactor+PB212,out_reactor+PB214,out_reactor+BI210,out_reactor+BI211,out_reactor+BI212,out_reactor+BI213,out_reactor+BI214,out_reactor+BI215,out_reactor+PO210,out_reactor+PO211,out_reactor+PO212,out_reactor+PO213,out_reactor+PO214,out_reactor+PO215,out_reactor+PO216,out_reactor+PO218,out_reactor+AT215,out_reactor+AT217,out_reactor+AT218,out_reactor+AT219,out_reactor+RN217,out_reactor+RN218,out_reactor+RN219,out_reactor+RN220,out_reactor+RN222,out_reactor+FR221,out_reactor+FR223,out_reactor+RA223,out_reactor+RA224,out_reactor+RA225,out_reactor+RA226,out_reactor+RA228,out_reactor+AC225,out_reactor+AC227,out_reactor+AC228,out_reactor+TH227,out_reactor+TH228,out_reactor+TH229,out_reactor+TH230,out_reactor+TH231,out_reactor+TH232,out_reactor+TH234,out_reactor+PA231,out_reactor+PA233,out_reactor+PA234,out_reactor+PA234(1),out_reactor+U233,out_reactor+U234,out_reactor+U235,out_reactor+U235(1),out_reactor+U236,out_reactor+U237,out_reactor+U238,out_reactor+NP237,out_reactor+PU238,out_reactor+PU239,out_reactor+PU240,out_reactor+PU241,out_reactor+PU242,out_reactor+AM241,out_reactor+O16,out_reactor+O17,out_reactor+O18,out_reactor+PB206,out_reactor+PB207,out_reactor+PB208,out_reactor+BI209,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,9.16241e-34,3.32758e-32,1.24305e-22,1.6679e-31,8.61033e-30,2.36686e-28,3.53721e-26,5.84689e-20,9.61561e-22,9.88466e-29,2.3673e-23,4.35422e-23,5.78004e-23,9.37526e-30,8.41872e-27,1.75816e-23,2.10886e-28,3.00277e-22,6.25363e-28,4.95839e-40,1.26487e-35,2.4291e-30,8.05185e-28,3.81245e-34,2.74503e-24,1.80941e-34,1.01288e-31,4.80005e-30,2.69335e-29,2.03204e-37,1.05001e-34,1.82464e-24,1.48895e-31,5.04821e-21,9.38939e-28,1.10718e-23,4.63348e-19,8.5281e-28,4.87047e-24,7.35214e-16,6.55057e-24,2.80927e-24,4.24443e-16,7.99259e-28,8.46731e-19,1.59782e-25,9.97704e-19,2.86721e-10,2.16104e-13,4.37022e-13,3.23277e-10,4.23709e-11,3.05911e-13,4.86816e-15,1.08989e-14,1.02492e-12,0.000212396,0.0531474,2.10779e-09,3.41317e-05,3.97955e-09,22.2669,9.90961e-06,0.0330282,1.04577,0.377964,0.128702,0.0839999,0.0100421,3.21787,0.00130232,0.00725749,7.53473e-23,2.54334e-18,8.70599e-27,1.18734e-23,
3,1.54729e-32,5.61939e-31,6.88732e-22,2.62273e-30,1.28448e-28,2.12663e-27,5.27661e-25,1.08715e-18,5.32766e-21,1.55434e-27,2.12702e-22,7.35311e-22,3.20251e-22,1.47424e-28,1.25589e-25,1.57971e-22,1.04661e-27,8.24849e-21,3.46491e-27,7.79696e-39,1.88691e-34,2.18255e-29,4.46125e-27,5.99499e-33,2.46642e-23,1.00253e-33,1.51101e-30,4.31286e-29,1.33668e-28,3.03137e-36,9.43437e-34,1.01097e-23,2.34134e-30,4.53583e-20,1.4007e-26,5.4948e-23,2.56723e-18,1.34103e-26,6.7472e-23,6.8056e-15,5.7585e-23,4.19083e-23,2.1157e-15,7.02615e-27,4.48682e-18,2.5907e-24,1.32202e-17,1.43665e-09,4.32317e-13,2.23629e-12,6.46582e-10,1.31058e-10,1.20924e-12,9.73674e-15,2.17987e-14,6.96728e-12,0.000655239,0.106321,4.21552e-09,0.00010359,7.79038e-09,44.5338,3.7951e-05,0.0658223,2.09152,0.755892,0.251947,0.168,0.0255372,6.43575,0.00260463,0.014515,4.57676e-21,2.70247e-17,2.95628e-25,3.58969e-22,
4,9.04806e-32,3.28605e-30,2.25317e-21,1.44268e-29,6.86182e-28,8.96662e-27,2.81881e-24,6.54223e-18,1.74293e-20,8.54995e-27,8.96827e-22,4.29988e-21,1.0477e-21,8.10933e-28,6.70913e-25,6.6606e-22,3.33139e-27,5.91888e-20,1.13354e-26,4.28886e-38,1.00801e-33,9.20242e-29,1.45949e-26,3.29766e-32,1.03993e-22,3.27975e-33,8.07198e-30,1.81845e-28,4.25471e-28,1.61939e-35,3.97787e-33,3.30735e-23,1.2879e-29,1.91247e-19,7.48268e-26,1.74902e-22,8.39865e-18,7.37656e-26,3.52377e-22,2.89495e-14,2.38496e-22,2.23879e-22,6.74163e-15,2.90996e-26,1.45195e-17,1.43691e-23,6.79973e-17,4.5956e-09,1.08085e-12,7.197e-12,1.61644e-09,3.50825e-10,3.57901e-12,2.43416e-14,5.44962e-14,2.60119e-11,0.00175169,0.265817,1.05388e-08,0.000276634,1.93987e-08,111.334,0.000111494,0.16444,5.22878,1.88971,0.627371,0.419999,0.0663292,16.0894,0.00651158,0.0362874,4.86728e-20,1.19674e-16,2.40514e-24,2.75482e-21,
5,1.91853e-31,6.96766e-30,4.57355e-21,3.06424e-29,1.45776e-27,1.88764e-26,5.98841e-24,1.38793e-17,3.53786e-20,1.816e-26,1.88799e-21,9.11736e-21,2.12664e-21,1.72241e-27,1.42532e-24,1.40218e-21,6.65496e-27,1.25125e-19,2.30089e-26,9.10951e-38,2.14146e-33,1.93728e-28,2.96251e-26,7.00419e-32,2.18925e-22,6.65732e-33,1.71485e-29,3.82819e-28,8.49943e-28,3.44032e-35,8.37416e-33,6.71336e-23,2.73548e-29,4.02611e-19,1.58966e-25,3.49392e-22,1.70478e-17,1.56677e-25,7.47873e-22,6.10285e-14,5.01823e-22,4.75621e-22,1.34767e-14,6.12291e-26,2.92921e-17,3.05299e-23,1.44226e-16,9.19425e-09,1.51349e-12,1.44452e-11,2.26308e-09,6.20853e-10,6.83769e-12,3.40792e-14,7.62968e-14,5.38665e-11,0.00309663,0.372218,1.47541e-08,0.000486199,2.66901e-08,155.868,0.000211392,0.229562,7.32022,2.6455,0.86318,0.587998,0.107985,22.5251,0.00911621,0.0508024,1.01546e-19,2.53655e-16,5.06238e-24,5.80923e-21,
6,3.97738e-31,1.44449e-29,8.08092e-21,6.27648e-29,2.96808e-27,3.6323e-26,1.21927e-23,2.89235e-17,6.25097e-20,3.71971e-26,3.63297e-21,1.89016e-20,3.75752e-21,3.52802e-27,2.90203e-24,2.69816e-21,1.16192e-26,2.68496e-19,4.0654e-26,1.8659e-37,4.36013e-33,3.72783e-28,5.2344e-26,1.43467e-31,4.21266e-22,1.17627e-32,3.49153e-29,7.3664e-28,1.48395e-27,7.00468e-35,1.6114e-32,1.18617e-22,5.60308e-29,7.74724e-19,3.23663e-25,6.10018e-22,3.01214e-17,3.20922e-25,1.51563e-21,1.17714e-13,9.60767e-22,9.68388e-22,2.35411e-14,1.17226e-25,5.15163e-17,6.26352e-23,2.91347e-16,1.60876e-08,2.16234e-12,2.53429e-11,3.23297e-09,9.79612e-10,1.15141e-11,4.86845e-14,1.08995e-13,9.99335e-11,0.00488114,0.531793,2.10772e-08,0.000765216,3.78066e-08,222.669,0.000354432,0.327481,10.4574,3.77921,1.2227,0.839997,0.164656,32.1787,0.0130232,0.0725749,2.28956e-19,4.94404e-16,1.10605e-23,1.25903e-20,
7,5.55897e-31,2.01889e-29,1.09041e-20,8.76614e-29,4.14311e-27,5.02362e-26,1.70197e-23,4.0453e-17,8.43482e-20,5.19519e-26,5.02454e-21,2.64177e-20,5.07026e-21,4.92746e-27,4.05091e-24,3.73165e-21,1.55482e-26,3.76223e-19,5.48569e-26,2.60603e-37,6.08627e-33,5.15573e-28,7.0631e-26,2.00375e-31,5.82627e-22,1.58721e-32,4.87379e-29,1.0188e-27,1.98576e-27,9.77776e-35,2.22863e-32,1.60057e-22,7.82562e-29,1.07147e-18,4.51798e-25,8.16299e-22,4.06447e-17,4.48221e-25,2.11395e-21,1.62925e-13,1.32777e-21,1.35176e-21,3.15131e-14,1.62005e-25,6.92945e-17,8.75044e-23,4.06139e-16,2.15484e-08,2.16288e-12,3.40044e-11,3.23305e-09,1.21124e-09,1.50156e-11,4.86858e-14,1.08998e-13,1.36791e-10,0.0060301,0.531926,2.1077e-08,0.000941841,3.69773e-08,222.669,0.000460193,0.326314,10.4573,3.77903,1.19588,0.839996,0.19144,32.1787,0.0130232,0.0725749,3.21122e-19,6.8638e-16,1.55055e-23,1.7646e-20,
8,7.31752e-31,2.65756e-29,1.31583e-20,1.14705e-28,5.40514e-27,6.36662e-26,2.2204e-23,5.33814e-17,1.01786e-19,6.79792e-26,6.36779e-21,3.47748e-20,6.11844e-21,6.44758e-27,5.28486e-24,4.72927e-21,1.86301e-26,5.03397e-19,6.61975e-26,3.41e-37,7.94021e-33,6.53405e-28,8.52326e-26,2.62191e-31,7.38386e-22,1.91534e-32,6.3584e-29,1.29117e-27,2.37936e-27,1.27562e-34,2.82443e-32,1.93146e-22,1.02398e-28,1.35792e-18,5.8942e-25,9.78101e-22,4.90472e-17,5.86497e-25,2.75164e-21,2.06735e-13,1.67809e-21,1.76352e-21,3.77705e-14,2.0475e-25,8.33918e-17,1.14588e-22,5.27817e-16,2.58552e-08,2.16321e-12,4.08666e-11,3.23305e-09,1.35025e-09,1.75795e-11,4.86858e-14,1.08998e-13,1.69948e-10,0.00671654,0.532006,2.10768e-08,0.00104781,3.64926e-08,222.669,0.000537242,0.325617,10.4572,3.77892,1.1802,0.839996,0.207078,32.1787,0.0130232,0.0725749,4.39453e-19,8.75623e-16,2.0921e-23,2.3721e-20,
9,7.31752e-31,2.65756e-29,1.31583e-20,1.14705e-28,5.40514e-27,6.36662e-26,2.2204e-23,5.33814e-17,1.01786e-19,6.79792e-26,6.36779e-21,3.47748e-20,6.11844e-21,6.44758e-27,5.28486e-24,4.72927e-21,1.86301e-26,5.03397e-19,6.61975e-26,3.41e-37,7.94021e-33,6.53405e-28,8.52326e-26,2.62191e-31,7.38386e-22,1.91534e-32,6.3584e-29,1.29117e-27,2.37936e-27,1.27562e-34,2.82443e-32,1.93146e-22,1.02398e-28,1.35792e-18,5.8942e-25,9.78101e-22,4.90472e-17,5.86497e-25,2.75164e-21,2.06735e-13,1.67809e-21,1.76352e-21,3.77705e-14,2.0475e-25,8.33918e-17,1.14588e-22,5.27817e-16,2.58552e-08,2.16321e-12,4.08666e-11,3.23305e-09,1.35025e-09,1.75795e-11,4.86858e-14,1.08998e-13,1.69948e-10,0.00671654,0.532006,2.10768e-08,0.00104781,3.64926e-08,222.669,0.000537242,0.325617,10.4572,3.77892,1.1802,0.839996,0.207078,32.1787,0.0130232,0.0725749,4.39453e-19,8.75623e-16,2.0921e-23,2.3721e-20,
10,7.31752e-31,2.65756e-29,1.31583e-20,1.14705e-28,5.40514e-27,6.36662e-26,2.2204e-23,5.33814e-17,1.01786e-19,6.79792e-26,6.36779e-21,3.47748e-20,6.11844e-21,6.44758e-27,5.28486e-24,4.72927e-21,1.86301e-26,5.03397e-19,6.61975e-26,3.41e-37,7.94021e-33,6.53405e-28,8.52326e-26,2.62191e-31,7.38386e-22,1.91534e-32,6.3584e-29,1.29117e-27,2.37936e-27,1.27562e-34,2.82443e-32,1.93146e-22,1.02398e-28,1.35792e-18,5.8942e-25,9.78101e-22,4.90472e-17,5.86497e-25,2.75164e-21,2.06735e-13,1.67809e-21,1.76352e-21,3.77705e-14,2.0475e-25,8.33918e-17,1.14588e-22,5.27817e-16,2.58552e-08,2.16321e-12,4.08666e-11,3.23305e-09,1.35025e-09,1.75795e-11,4.86858e-14,1.08998e-13,1.69948e-10,0.00671654,0.532006,2.10768e-08,0.00104781,3.64926e-08,222.669,0.000537242,0.325617,10.4572,3.77892,1.1802,0.839996,0.207078,32.1787,0.0130232,0.0725749,4.39453e-19,8.75623e-16,2.0921e-23,2.3721e-20,
